
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_augment_symmetry_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Augment:      symmetry (random H/V flip)
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s3/config.json

  step= 198,408  1 eps: Mayar:1L P0  ret=  37.00  len= 1040  WR[Coac=0% Maya=0%]
  step= 198,624  1 eps: POLig:1L P1  ret=  47.00  len=  870  WR[Coac=0% Maya=0%]
  step= 198,768  1 eps: Mayar:1L P1  ret=  33.20  len=  829  WR[Coac=0% Maya=0%]
  step= 200,256  1 eps: Mayar:1L P1  ret=  60.00  len= 1196  WR[Coac=0% Maya=0%]
  step= 202,008  1 eps: CoacA:1L P1  ret=  31.00  len=  865  WR[Coac=0% Maya=0%]
  step= 203,304  1 eps: CoacA:1L P1  ret=  11.20  len=  805  WR[Coac=0% Maya=0%]
  step= 203,520  1 eps: CoacA:1L P1  ret=  37.20  len=  944  WR[Coac=0% Maya=0%]
  step= 204,096  1 eps: CoacA:1L P1  ret=  14.00  len=  852  WR[Coac=0% Maya=0%]
  step= 204,336  1 eps: CoacA:1L P1  ret=  22.20  len=  757  WR[Coac=0% Maya=0%]
  step= 204,552  2 eps: CoacA:1L P1 Mayar:1L P0  ret=  20.20  len=  884  WR[Coac=0% Maya=0%]
  step= 204,816  1 eps: CoacA:1L P1  ret=  23.20  len=  868  WR[Coac=0% Maya=0%]
  step= 205,584  1 eps: Mayar:1L P0  ret=  30.20  len=  952  WR[Coac=0% Maya=0%]
  step= 205,800  1 eps: Mayar:1L P0  ret=  60.00  len= 1193  WR[Coac=0% Maya=0%]
  step= 207,024  1 eps: POLig:1L P1  ret=  58.00  len= 1051  WR[Coac=0% Maya=0%]
  step= 209,880  1 eps: CoacA:1L P1  ret=  14.20  len=  861  WR[Coac=0% Maya=0%]
  step= 211,512  1 eps: Mayar:1L P0  ret=   8.20  len=  730  WR[Coac=0% Maya=0%]
  step= 213,216  1 eps: CoacA:1L P1  ret=  34.20  len=  775  WR[Coac=0% Maya=0%]
  step= 213,480  1 eps: Mayar:1L P0  ret=  12.20  len=  943  WR[Coac=0% Maya=0%]
  step= 214,080  1 eps: POWor:1L P1  ret=  35.00  len=  975  WR[Coac=0% Maya=0%]
  step= 216,936  1 eps: Mayar:1L P0  ret=  78.20  len= 1309  WR[Coac=0% Maya=0%]
  step= 218,424  1 eps: POLig:1L P0  ret=   6.20  len=  825  WR[Coac=0% Maya=0%]
  step= 219,816  1 eps: Mayar:1L P1  ret=  21.20  len=  892  WR[Coac=0% Maya=0%]
  step= 222,936  1 eps: CoacA:1L P0  ret=  14.20  len=  809  WR[Coac=0% Maya=0%]
  step= 224,496  1 eps: CoacA:1L P0  ret=   5.20  len=  937  WR[Coac=0% Maya=0%]
  step= 225,744  1 eps: CoacA:1L P0  ret=  25.20  len=  892  WR[Coac=0% Maya=0%]
  step= 225,816  1 eps: Mayar:1L P1  ret=  11.20  len=  834  WR[Coac=0% Maya=0%]
  step= 225,960  1 eps: CoacA:1L P0  ret=  44.20  len=  892  WR[Coac=0% Maya=0%]
  step= 226,104  1 eps: CoacA:1L P0  ret=  43.00  len=  950  WR[Coac=0% Maya=0%]
  step= 226,176  1 eps: CoacA:1L P0  ret=  -6.80  len=  890  WR[Coac=0% Maya=0%]
  step= 226,560  1 eps: Mayar:1L P0  ret=  43.20  len= 1158  WR[Coac=0% Maya=0%]
  step= 227,616  1 eps: CoacA:1L P0  ret=  30.20  len=  980  WR[Coac=0% Maya=0%]
  step= 228,120  1 eps: Rando:1D P0  ret= 173.20  len= 4000  WR[Coac=0% Maya=0%]
  step= 228,624  1 eps: Mayar:1L P1  ret=  31.20  len=  960  WR[Coac=0% Maya=0%]
  step= 228,816  1 eps: POLig:1L P0  ret=  58.00  len=  908  WR[Coac=0% Maya=0%]
  step= 231,600  1 eps: CoacA:1L P0  ret=  28.00  len=  905  WR[Coac=0% Maya=0%]
