
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_baseline_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_baseline_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_baseline_s3/config.json

  step= 136,632  1 eps: POLig:1L P0  ret=  56.00  len= 1009  WR[Coac=0%]
  step= 137,280  1 eps: POWor:1L P0  ret=  23.20  len=  695  WR[Coac=0%]
  step= 138,576  1 eps: Mayar:1L P1  ret=  75.40  len= 1236  WR[Coac=0% Maya=0%]
  step= 140,040  1 eps: Mayar:1L P1  ret=   4.20  len=  878  WR[Coac=0% Maya=0%]
  step= 141,264  1 eps: Mayar:1L P0  ret=   9.20  len=  828  WR[Coac=0% Maya=0%]
  step= 141,408  1 eps: CoacA:1L P0  ret=  48.80  len=  955  WR[Coac=0% Maya=0%]
  step= 144,576  1 eps: POLig:1L P0  ret=  44.00  len=  803  WR[Coac=0% Maya=0%]
  step= 145,032  1 eps: CoacA:1L P0  ret=  29.20  len=  938  WR[Coac=0% Maya=0%]
  step= 145,296  1 eps: Mayar:1L P0  ret=  20.20  len=  943  WR[Coac=0% Maya=0%]
  step= 145,320  1 eps: CoacA:1L P0  ret=  19.20  len=  903  WR[Coac=0% Maya=0%]
  step= 145,872  1 eps: CoacA:1L P0  ret=  31.20  len=  975  WR[Coac=0% Maya=0%]
  step= 146,304  1 eps: Mayar:1L P1  ret=  44.00  len= 1090  WR[Coac=0% Maya=0%]
  step= 146,808  1 eps: CoacA:1L P0  ret=  23.20  len=  956  WR[Coac=0% Maya=0%]
  step= 147,024  1 eps: CoacA:1L P0  ret=  41.00  len=  940  WR[Coac=0% Maya=0%]
  step= 147,192  1 eps: Rando:1W P1  ret= 145.20  len= 2693  WR[Coac=0% Maya=0%]
  step= 148,488  1 eps: CoacA:1L P0  ret=  40.00  len=  950  WR[Coac=0% Maya=0%]
  step= 148,920  1 eps: Mayar:1L P1  ret=  -7.80  len=  760  WR[Coac=0% Maya=0%]
  step= 149,016  1 eps: CoacA:1L P0  ret=  31.20  len=  898  WR[Coac=0% Maya=0%]
  step= 153,000  1 eps: POWor:1L P1  ret=  34.00  len=  655  WR[Coac=0% Maya=0%]
  step= 155,784  1 eps: POLig:1L P1  ret=  19.20  len=  798  WR[Coac=0% Maya=0%]
  step= 155,880  1 eps: CoacA:1L P0  ret=  42.20  len= 1066  WR[Coac=0% Maya=0%]
  step= 159,024  1 eps: Mayar:1L P0  ret=  29.20  len=  791  WR[Coac=0% Maya=0%]
  step= 159,264  1 eps: Mayar:1L P1  ret=  61.00  len= 1211  WR[Coac=0% Maya=0%]
  step= 160,488  1 eps: CoacA:1L P1  ret=  25.00  len=  795  WR[Coac=0% Maya=0%]
  step= 161,640  1 eps: Mayar:1L P0  ret=  64.00  len= 1136  WR[Coac=0% Maya=0%]
  step= 161,760  1 eps: POWor:1L P0  ret=  83.00  len= 1450  WR[Coac=0% Maya=0%]
  step= 162,648  1 eps: Mayar:1L P1  ret=  27.00  len=  891  WR[Coac=0% Maya=0%]
  step= 163,344  1 eps: CoacA:1L P1  ret=   4.20  len=  763  WR[Coac=0% Maya=0%]
  step= 163,656  1 eps: POLig:1L P1  ret=  23.00  len=  795  WR[Coac=0% Maya=0%]
  step= 164,448  1 eps: Mayar:1L P0  ret=  68.00  len= 1236  WR[Coac=0% Maya=0%]
  step= 165,240  1 eps: CoacA:1L P1  ret=  30.20  len=  830  WR[Coac=0% Maya=0%]
  step= 166,200  1 eps: CoacA:1L P1  ret=  36.00  len=  847  WR[Coac=0% Maya=0%]
  step= 166,416  1 eps: CoacA:1L P1  ret=  37.20  len=  808  WR[Coac=0% Maya=0%]
  step= 167,544  1 eps: Mayar:1L P0  ret=  67.20  len= 1207  WR[Coac=0% Maya=0%]
  step= 167,664  1 eps: CoacA:1L P1  ret=  37.20  len=  869  WR[Coac=0% Maya=0%]
