
============================================================
  PPO + unet_entity_cbam  —  MicroRTS
============================================================
  Exp name:     arch_ablation_unet_entity_cbam_s3
  Seed:         3
  Architecture: unet_entity_cbam (2,901,939 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  100,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      8138
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/arch_ablation_unet_entity_cbam_s3
  Eval every:   ~10.0M steps (813 updates)
  Eval bots:    RandomBiasedAI, POWorkerRush, POLightRush, CoacAI, Mayari (10 games each)
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/arch_ablation_unet_entity_cbam_s3/config.json

  step= 202,536  1 eps: CoacA:1L P1  ret=  36.20  len=  840  WR[Coac=0% Maya=0%]
  step= 202,800  1 eps: Mayar:1L P1  ret=  81.60  len= 1298  WR[Coac=0% Maya=0%]
  step= 204,408  1 eps: CoacA:1L P1  ret=  48.20  len=  860  WR[Coac=0% Maya=0%]
  step= 205,248  1 eps: CoacA:1L P1  ret=  37.20  len=  856  WR[Coac=0% Maya=0%]
  step= 205,536  1 eps: Mayar:1L P0  ret=  46.20  len=  971  WR[Coac=0% Maya=0%]
  step= 206,856  1 eps: Mayar:1L P0  ret=  73.20  len= 1299  WR[Coac=0% Maya=0%]
  step= 207,264  1 eps: CoacA:1L P1  ret=  48.20  len=  849  WR[Coac=0% Maya=0%]
  step= 207,432  1 eps: Mayar:1L P1  ret=  -4.80  len=  900  WR[Coac=0% Maya=0%]
  step= 208,440  1 eps: CoacA:1L P1  ret=  -0.80  len=  742  WR[Coac=0% Maya=0%]
  step= 208,560  1 eps: CoacA:1L P1  ret=  35.20  len=  942  WR[Coac=0% Maya=0%]
  step= 209,664  1 eps: CoacA:1L P1  ret=  28.20  len=  838  WR[Coac=0% Maya=0%]
  step= 210,960  1 eps: CoacA:1L P1  ret=  53.20  len=  929  WR[Coac=0% Maya=0%]
  step= 211,080  1 eps: POWor:1L P1  ret=  19.00  len=  600  WR[Coac=0% Maya=0%]
  step= 211,584  1 eps: POLig:1L P1  ret=  45.00  len=  782  WR[Coac=0% Maya=0%]
  step= 212,016  1 eps: Mayar:1L P1  ret=  22.20  len=  864  WR[Coac=0% Maya=0%]
  step= 212,424  1 eps: POLig:1L P1  ret=  58.00  len= 1103  WR[Coac=0% Maya=0%]
  step= 214,680  1 eps: POWor:1L P0  ret=  10.20  len=  570  WR[Coac=0% Maya=0%]
  step= 216,456  1 eps: Mayar:1L P1  ret=  34.20  len= 1015  WR[Coac=0% Maya=0%]
  step= 222,480  1 eps: CoacA:1L P0  ret=  27.20  len=  831  WR[Coac=0% Maya=0%]
  step= 224,232  1 eps: CoacA:1L P0  ret=  -5.80  len=  826  WR[Coac=0% Maya=0%]
  step= 224,472  1 eps: CoacA:1L P0  ret=  29.00  len=  951  WR[Coac=0% Maya=0%]
  step= 225,168  1 eps: Mayar:1L P1  ret=  12.20  len=  763  WR[Coac=0% Maya=0%]
  step= 225,408  1 eps: Mayar:1L P0  ret=  52.20  len=  942  WR[Coac=0% Maya=0%]
  step= 225,696  1 eps: Mayar:1L P0  ret=  31.20  len= 1054  WR[Coac=0% Maya=0%]
  step= 226,944  1 eps: Mayar:1L P1  ret=  68.20  len= 1163  WR[Coac=0% Maya=0%]
  step= 227,568  1 eps: CoacA:1L P0  ret=  34.00  len=  930  WR[Coac=0% Maya=0%]
  step= 227,856  1 eps: POLig:1L P0  ret=  -3.80  len=  678  WR[Coac=0% Maya=0%]
  step= 228,888  1 eps: Mayar:1L P1  ret=  29.20  len=  973  WR[Coac=0% Maya=0%]
